rank,url,pathname,lastmod,days_since_update,intent_tier,intent_score,recency_score,priority_score,recommended_action,recommended_destination,rationale
11,https://gameye.com/about-us/,/about-us/,2025-12-01T21:05:23+00:00,78,High Trust,85,56.67,76.5,migrate_or_redirect_before_cutover,https://gameye.com/platform/,Trust/brand proof URL important for buyer confidence.
12,https://gameye.com/terms-and-conditions/,/terms-and-conditions/,2023-11-27T09:36:15+00:00,813,Critical Compliance,100,0,70,publish_or_redirect_before_cutover,https://gameye.com/,Legal/compliance URL currently missing; requires explicit launch handling.
13,https://gameye.com/aws-gameye/,/aws-gameye/,2025-03-20T12:06:49+00:00,334,Critical Revenue,98,0,68.6,migrate_or_redirect_before_cutover,https://gameye.com/platform/,High conversion/commercial intent URL with direct pipeline impact.
14,https://gameye.com/specialists-for-your-infrastructure/,/specialists-for-your-infrastructure/,2025-03-19T11:01:24+00:00,335,Critical Revenue,98,0,68.6,migrate_or_redirect_before_cutover,https://gameye.com/platform/,High conversion/commercial intent URL with direct pipeline impact.
15,https://gameye.com/gameye-partners/,/gameye-partners/,2025-01-29T13:24:02+00:00,384,High Trust,85,0,59.5,migrate_or_redirect_before_cutover,https://gameye.com/platform/,Trust/brand proof URL important for buyer confidence.
16,https://gameye.com/careers/,/careers/,2025-03-19T12:36:06+00:00,335,High Trust,85,0,59.5,migrate_or_redirect_before_cutover,https://gameye.com/contact-us/,Trust/brand proof URL important for buyer confidence.
17,https://gameye.com/integrations/,/integrations/,2025-03-20T12:43:42+00:00,334,High Trust,85,0,59.5,migrate_or_redirect_before_cutover,https://gameye.com/docs/integrations/,Trust/brand proof URL important for buyer confidence.
18,https://gameye.com/case-studies/nubs-arena/,/case-studies/nubs-arena/,2025-06-19T14:50:02+00:00,243,High Trust,85,0,59.5,migrate_or_redirect_before_cutover,https://gameye.com/case-studies/,Trust/brand proof URL important for buyer confidence.
19,https://gameye.com/case-studies/ascendants-rising/,/case-studies/ascendants-rising/,2025-03-19T10:47:52+00:00,335,High Trust,85,0,59.5,migrate_or_redirect_before_cutover,https://gameye.com/case-studies/,Trust/brand proof URL important for buyer confidence.
20,https://gameye.com/case-studies/project-xandata/,/case-studies/project-xandata/,2025-03-19T10:48:34+00:00,335,High Trust,85,0,59.5,migrate_or_redirect_before_cutover,https://gameye.com/case-studies/,Trust/brand proof URL important for buyer confidence.
21,https://gameye.com/case-studies/space-team-marrying-mobile-and-vr/,/case-studies/space-team-marrying-mobile-and-vr/,2025-03-19T10:47:16+00:00,335,High Trust,85,0,59.5,migrate_or_redirect_before_cutover,https://gameye.com/case-studies/,Trust/brand proof URL important for buyer confidence.
22,https://gameye.com/case-studies/doborog/,/case-studies/doborog/,2025-03-19T10:46:38+00:00,335,High Trust,85,0,59.5,migrate_or_redirect_before_cutover,https://gameye.com/case-studies/,Trust/brand proof URL important for buyer confidence.
23,https://gameye.com/case-studies/chivalry-2/,/case-studies/chivalry-2/,2025-03-19T10:46:03+00:00,335,High Trust,85,0,59.5,migrate_or_redirect_before_cutover,https://gameye.com/case-studies/,Trust/brand proof URL important for buyer confidence.
24,https://gameye.com/blog/gameye-and-idem/,/blog/gameye-and-idem/,2024-12-11T11:22:48+00:00,433,Medium SEO,62,0,43.4,redirect_at_launch_migrate_later,https://gameye.com/blog/,Long-tail content URL; preserve SEO equity via redirects.
25,https://gameye.com/blog/top-ten-metrics-for-your-server-infrastructure/,/blog/top-ten-metrics-for-your-server-infrastructure/,2024-12-11T11:54:49+00:00,433,Medium SEO,62,0,43.4,redirect_at_launch_migrate_later,https://gameye.com/blog/,Long-tail content URL; preserve SEO equity via redirects.
